# id|name|calories|proteins|fats|carbs
2|Куриная грудка|165|31|3.6|0
5|Яйцо куриное|157|12.7|11.5|0.7
24|Говядина|250|26|15|0
25|Рыба лосось|208|20|13|0
26|Творог|120|17|5|3
27|Сыр|402|25|33|1
28|Индейка|189|29|7|0
50|Свинина|242|25|16|0
51|Баранина|294|25|21|0
52|Тунец|184|30|6|0
53|Креветки|85|18|1|0
54|Тофу|76|8|4.8|1.9
55|Чечевица|116|9|0.4|20
