# id|name|calories|proteins|fats|carbs
7|Брокколи|34|2.8|0.4|7
14|Морковь|41|0.9|0.2|10
15|Огурец|15|0.7|0.1|3
16|Помидор|18|0.9|0.2|4
17|Картофель|77|2|0.1|17
18|Капуста|25|1.3|0.1|6
39|Лук|40|1.1|0.1|9
40|Чеснок|149|6.4|0.5|33
41|Шпинат|23|2.9|0.4|3.6
42|Перец болгарский|26|1|0.3|6
43|Кабачок|24|0.6|0.3|5
44|Баклажан|25|1|0.2|6
