# id|name|calories|proteins|fats|carbs
4|Молоко 2.5%|52|3.4|2.5|4.7
19|Вода|0|0|0|0
20|Сок апельсиновый|45|0.7|0.2|10
21|Чай зеленый|1|0|0|0
22|Кофе|1|0.1|0|0
23|Кока-кола|42|0|0|11
45|Сок яблочный|46|0.1|0.1|11
46|Йогурт натуральный|61|3.3|3.3|4.7
47|Кефир|41|3.3|1|4
48|Смузи фруктовый|75|1.2|0.3|17
49|Лимонад|41|0|0|10
